Symbol	Rank	DevE10.5(PVal)affy430	DevE11.5(PVal)affy430	DevE12.5(PVal)affy430	DevE16.5(PVal)affy430	DevE17.5(PVal)affy430	DevE19.5(PVal)affy430	DevP0(PVal)affy430	DevP2(PVal)affy430	DevP56(PVal)affy430	DevP28Epi(PVal)affy430	DevE9.5a(PVal)lumi2	DevE9.5b(PVal)lumi2	DevE10.5a(PVal)lumi2	DevE10.5b(PVal)lumi2	DevP4(PVal)lumi2	DevP8(PVal)lumi2	DevP12(PVal)lumi2	DevP20(PVal)lumi2	DevP30(PVal)lumi2	DevP42(PVal)lumi2	DevP52(PVal)lumi2	DevP60(PVal)lumi2	DevE9.5(PVal)lumi1	DevE10.25(PVal)lumi1	DevE15.5(PVal)affy430a	DevP0a(PVal)affy430a	DevP0b(PVal)affy430a

Gm1673	-	0.71	0.57	0.72	0.81	0.87	0.75	0.88	0.5	0	0.13	0.6	0	0	0	0	0.02	0	0	0	0.01	0.01	0.16	0	0	-	-	-
Gm20300	-	0.04	0.29	0.12	0	0	0	0	0.99	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Gm20362	-	0.51	1	0.93	0.61	0.85	0.48	0.51	0.12	0.01	0.61	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
Gm2115	-	0.83	0.67	0.33	0.15	0.45	0.19	0.82	0.01	0.44	0.27	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Gm3716	-	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
Gm561	-	0.47	0.72	0.05	0	0	0	0	0.01	0.25	0	0.83	0.56	0.35	0.21	0	0	0	0	0	0	0	0	0.98	0.72	0	0	0
Gm6297	-	0.06	0.02	0.01	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Gmnn	-	0.3	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0.49	0.61	0.32	0.63	0.63	0.66	0.59	0.54	-	-	0	0	0
Gna14	-	0	0.11	0.03	0.37	0.01	0	0	0	0	0.17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.54	0.67	0.57
Gnb3	-	0.78	0.26	0.63	0.81	0.46	0.21	0.5	0	0.04	0	0.41	0.49	0.45	0.85	0.06	0.05	0.15	0.12	0.01	0.04	0.05	0	-	-	0.74	0.53	0.71
Gnb4	-	0	0	0	0.01	0	0	0	0	0	0	0.07	0.07	0	0.75	0.98	0.39	0.22	0.24	0.26	0.16	0.13	0.08	0.01	0.15	0	0	0
Golm1	-	0.06	0.17	0	0	0	0	0	0	0	0	0.77	0.55	0.79	0.3	0	0	0	0	0	0	0	0	0.59	0.1	0.29	0	0.03
Gp1ba	-	0.15	0.93	0.02	0	0	0	0.01	0.07	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.04	0.06	0.9
Gpc1	-	0.9	0.2	0	0	0	0	0	0	0	0	0.09	0.03	0	0.41	0	0	0	0	0	0	0	0	0	0	0	0	0
Gpc3	-	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.62	0	0	0	0
Gpc5	-	0.65	0.09	0.08	0.73	0.85	0.53	0.03	0.83	0.04	0	0.34	0.17	0.37	0	0.13	0.21	0.74	0.27	0.02	0.92	0.78	0.13	-	-	-	-	-
Gper1	-	0.12	0.37	0.08	0.49	0.75	0.18	0.86	0.32	0.49	0.84	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Gpm6b	-	0	0	0	0.1	0.93	0.99	0.36	0.3	0.05	0	0.97	0	0	0	0.04	0.56	0.48	0.83	0	0.66	0.67	0.52	-	-	0	0	0
Gpnmb	-	0.44	0.29	0.85	0.18	0.41	0.49	0.49	0.62	0	0	0.74	0.59	0.68	0.19	0.86	0.53	0.32	0.01	0.57	0.86	0.81	0.47	-	-	0.38	0.7	0.06
Gpr126	-	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Gpr146	-	0.12	0.82	0.07	0.61	0.48	0.72	0.39	0.2	0	0	0.46	0.17	0.68	0.92	0.49	1	0.82	0.69	0.19	0.52	0.55	0.02	-	-	-	-	-
Gpr153	-	0.03	0.01	0	0	0.16	0.82	0.55	0.57	0	0.34	0.24	0.76	0.8	0.1	0.03	0.98	0.97	0.64	0.26	0.35	0.75	0.08	-	-	0.47	0.21	0.41
Gpr156	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0.05	0.01	0.04	0.05	0	0.01	0.01	-	-	-	-	-
Gpr160	-	0.01	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Gpr176	-	0	0	0.1	0.01	0.74	0.27	0.09	0.38	0.18	0	0.08	0.8	0.58	0.72	0	0	0.01	0.04	0.05	0.43	0.34	0.92	-	-	-	-	-
Gpr88	-	0.49	0.43	0.94	0.67	0.02	0.02	0.13	0.02	0.88	0.16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Gpr97	-	0.75	0.95	0.8	0.87	0.09	0.06	0.3	0	0.2	0.09	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
Gprc5b	-	0.39	0.01	0	0	0	0	0	0	0	0	0.02	0.6	0.14	0.06	0	0	0	0	0	0	0	0	0.87	0.21	0	0	0
Gprc5c	-	0	0	0	0	0	0	0	0.01	0.19	0.55	0.32	0.89	0.53	0.21	0	0	0	0	0.01	0	0	0	0.18	0.16	0.86	0.56	0.05
Gpsm2	-	0	0	0	0	0	0	0	0	0.11	0.4	0.98	0.21	0.75	0.25	0.5	0.47	0.08	0.02	0	0.8	0.47	0.58	-	-	0.8	0.3	0.01
Gramd1c	-	0.02	0.01	0.04	0.05	0.51	0.59	0.48	0.02	0.14	0	0	0.17	0.15	0.02	0.97	0.94	0.73	0.96	0.84	0.73	0.88	0.63	-	-	-	-	-
Grb10	-	0.52	0.07	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	-	-	0.39	0.18	0.01
Grem1	-	0	0.01	0.12	0.01	0.81	0	0.17	0.78	0.1	0	0.81	0.64	0.96	0.57	0.09	0	0.14	0.06	0.05	0.07	0.08	0.42	-	-	0.4	0.86	0
Grhpr	-	0	0.51	0.33	0	0	0	0	0	0.66	0	0.12	0.02	0	0.01	0.03	0.18	0.2	0.33	0.12	0.84	0.59	0.66	0	0	0	0.05	0
Gria1	-	0.04	0.12	0.16	0.7	0	0	0.3	0.01	0.42	0.83	0.14	0	0.01	0.01	0.05	0.01	0.12	0.21	0.18	0.4	0.23	0.05	-	-	0	0	0
Grid1	-	0.17	0.38	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	0.02	0.06
Grin2b	-	0.11	0.04	0.55	0.01	0.55	0.49	0.38	0.64	0	0.4	0.95	0.67	0.9	0.41	0.48	0.92	0.97	0.99	0.07	0.47	0.79	0	-	-	-	-	-
Grip1	-	0	0	0	0	0	0	0.02	0.03	0	0	0.32	0.27	0	0.91	0.74	0.94	0.81	0.79	0.6	0.96	0.92	0.48	0.01	0	0	0	0
Grm4	-	0.47	0.11	0.37	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Grtp1	-	0.77	0.06	0.06	0.03	0.03	0.53	0.33	0.34	0.1	0	0.02	0.02	0.01	0.01	0.1	0.8	0.64	0.98	0.24	0.6	0.94	0.52	0	0.79	0	0	0
Grwd1	-	0	0	0	0.46	0.27	0.91	0.33	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0	0.17	0.01
Gsg2	-	0	0.86	0	0	0	0	0	0	0	0	0.96	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0
Gsr	-	0.06	0.37	0.87	0.04	0.18	0.65	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
Gss	-	0	0	0	0	0	0	0	0	0	0	0.86	0.62	0.09	0.69	0	0	0	0	0	0	0	0	0.68	0.1	0	0	0
Gstk1	-	0	0.01	0.01	0.99	0.16	0.5	0.07	0.72	0.57	0	0.05	0.07	0	0.23	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01
Gstm1	-	0.08	0	0	0	0	0	0	0	0	0	0.37	0.36	0.83	0.73	0	0	0	0	0	0	0	0	0.02	0.02	0	0	0
Gstm2	-	0.63	0.08	0	0.22	0.43	0.01	0.03	0	0	0	0.85	0.88	0.05	0.09	0	0	0	0	0	0	0	0	0.25	0.63	0.13	0	0
Gstm6	-	0.01	0	0	0	0	0	0	0	0	0	0.91	0.86	0.79	0.73	0	0	0	0	0	0	0	0	-	-	0	0	0
Gstm7	-	0.48	0	0	0	0	0	0	0	0	0	0.11	0.1	0.54	0.29	0	0	0	0	0	0	0	0	-	-	0	0	0
Gtdc1	-	0.08	0.06	0.89	0.03	0	0.45	0	0.28	0	0	0.06	0.01	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-
Gtse1	-	0.03	0.15	0.04	0	0	0	0	0	0	0	0.14	0.15	0.07	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0	0	0
Gulp1	-	0.37	0.92	0.2	0.73	0.23	0.31	0.35	0.27	0	0.41	0.76	0.98	0.37	0.33	0.24	0.06	0.33	0.01	0.03	0.01	0.01	0	0.06	0.01	-	-	-
Gxylt2	-	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
H19	-	0.76	0.39	0.16	0.61	0.02	0	0	0	0	0	0.92	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0.53	0	0.1
H2-D1	-	0.04	0.05	0	0.56	0.26	0.8	0.59	0	0.57	0	0.06	0	0.02	0.02	0.01	0.3	0.23	0.18	0.13	0.63	0.28	0.08	0	0.02	0.45	0.48	0.34
