Symbol	Rank	DevE10.5(PVal)affy430	DevE11.5(PVal)affy430	DevE12.5(PVal)affy430	DevE16.5(PVal)affy430	DevE17.5(PVal)affy430	DevE19.5(PVal)affy430	DevP0(PVal)affy430	DevP2(PVal)affy430	DevP56(PVal)affy430	DevP28Epi(PVal)affy430	DevE9.5a(PVal)lumi2	DevE9.5b(PVal)lumi2	DevE10.5a(PVal)lumi2	DevE10.5b(PVal)lumi2	DevP4(PVal)lumi2	DevP8(PVal)lumi2	DevP12(PVal)lumi2	DevP20(PVal)lumi2	DevP30(PVal)lumi2	DevP42(PVal)lumi2	DevP52(PVal)lumi2	DevP60(PVal)lumi2	DevE9.5(PVal)lumi1	DevE10.25(PVal)lumi1	DevE15.5(PVal)affy430a	DevP0a(PVal)affy430a	DevP0b(PVal)affy430a

1110034G24Rik	-	0.58	0.87	1	0.02	0.09	0.13	0.06	0.1	0.98	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1300002E11Rik	-	0.57	0.01	0.05	0	0	0.14	0.01	0.97	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1300017J02Rik	-	0.07	0.79	0	0	0	0	0	0	0.38	0.35	0.23	0.02	0.06	0.41	0	0	0	0	0.01	0.06	0.02	0	-	-	0	0	0.29
1500004A13Rik	-	0	0	0	0	0	0	0	0.02	0.72	0.14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1600016N20Rik	-	-	-	-	-	-	-	-	-	-	-	0.74	0.87	0.26	0.94	0.84	0.95	0.27	0.48	0.41	0.3	0.19	0.23	0.05	0.01	-	-	-
1700019G17Rik	-	0.52	0.06	0.02	0	0	0	0	0.14	0	0	0.44	0.89	0.17	0.05	0.49	0.69	0.92	0.62	0.64	0.84	0.72	0.42	0.51	0.21	0	0	0
1700094D03Rik	-	0.19	0.03	0.02	0.87	0.21	0.01	0.27	0.12	0	0.07	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
1700102P08Rik	-	0.4	0.2	0.21	0.58	0.54	0.79	0.2	0.24	0.21	0.59	0.15	0.95	0.95	0.25	0.12	0.8	0.75	0.54	0.4	0.5	0.67	0.49	-	-	0.02	0.09	0.24
1700128F08Rik	-	0.67	0.92	0.28	0.34	0.94	0.67	0.36	0.09	0.03	0.35	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1810011H11Rik	-	0.96	0.66	0.72	0.22	0.92	0.64	0.41	0.09	0.04	0.66	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2010002M12Rik	-	0.57	0.13	0.34	0.02	0	0.01	0	0.03	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2210039B01Rik	-	0.11	0.65	0.13	0.86	0.2	0.13	0.05	0.27	0.54	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2310001H17Rik	-	0.02	0.14	0.48	0.24	0.19	0.31	0.06	0.66	0.65	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
