Symbol	Rank	DevE10.5(PVal)affy430	DevE11.5(PVal)affy430	DevE12.5(PVal)affy430	DevE16.5(PVal)affy430	DevE17.5(PVal)affy430	DevE19.5(PVal)affy430	DevP0(PVal)affy430	DevP2(PVal)affy430	DevP56(PVal)affy430	DevP28Epi(PVal)affy430	DevE9.5a(PVal)lumi2	DevE9.5b(PVal)lumi2	DevE10.5a(PVal)lumi2	DevE10.5b(PVal)lumi2	DevP4(PVal)lumi2	DevP8(PVal)lumi2	DevP12(PVal)lumi2	DevP20(PVal)lumi2	DevP30(PVal)lumi2	DevP42(PVal)lumi2	DevP52(PVal)lumi2	DevP60(PVal)lumi2	DevE9.5(PVal)lumi1	DevE10.25(PVal)lumi1	DevE15.5(PVal)affy430a	DevP0a(PVal)affy430a	DevP0b(PVal)affy430a

Dpysl3	-	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Drd2	-	0.93	0.06	0.17	0.06	0.85	0.61	0.18	0	0	0.07	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0.56	0.01
Drd4	-	0.77	0.21	0	0	0	0	0	0	0	0	0.37	0.33	0.24	0.48	0	0	0	0	0	0	0	0	-	-	0	0	0
Dscam	-	0.13	0.08	0.4	0.49	0.47	0.76	0.64	0	0.5	0.81	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.19	0.01	0.02
Dsp	-	0.04	0.02	0	0	0	0	0	0	0	0.36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.14	0.04	0.03
Dusp9	-	0.12	0.27	0.04	0	0	0	0	0	0	0	0	0	0.03	0	0.78	0.9	0.9	0.9	0.95	1	0.96	0.82	0	0	0	0	0
Dync2h1	-	0	0	0	0	0	0	0	0	0.09	0	0	0	0.49	0	0	0.02	0.08	0.46	0.53	0.74	0.7	0.8	0.05	0.06	-	-	-
Dynll1	-	0.91	0.06	0.26	0	0	0	0	0.03	0	0	0.74	0	0	0	0.09	0.5	0.23	0.16	0.05	0	0.07	0	-	-	0.06	0.07	0.11
Dyrk2	-	0	0.01	0	0	0	0	0	0	0	0	0.21	0.01	0.1	0.13	0.04	0.29	0.98	0.07	0	0.43	0.25	0	-	-	-	-	-
