Symbol	Rank	DevE10.5(PVal)affy430	DevE11.5(PVal)affy430	DevE12.5(PVal)affy430	DevE16.5(PVal)affy430	DevE17.5(PVal)affy430	DevE19.5(PVal)affy430	DevP0(PVal)affy430	DevP2(PVal)affy430	DevP56(PVal)affy430	DevP28Epi(PVal)affy430	DevE9.5a(PVal)lumi2	DevE9.5b(PVal)lumi2	DevE10.5a(PVal)lumi2	DevE10.5b(PVal)lumi2	DevP4(PVal)lumi2	DevP8(PVal)lumi2	DevP12(PVal)lumi2	DevP20(PVal)lumi2	DevP30(PVal)lumi2	DevP42(PVal)lumi2	DevP52(PVal)lumi2	DevP60(PVal)lumi2	DevE9.5(PVal)lumi1	DevE10.25(PVal)lumi1	DevE15.5(PVal)affy430a	DevP0a(PVal)affy430a	DevP0b(PVal)affy430a

Ckap2l	-	0.78	1	0.01	0	0	0	0	0.16	0	0.17	0.02	0	0.03	0.48	0.03	0.01	0.01	0.01	0.23	0	0.02	0	0.12	0.01	-	-	-
Ckmt2	-	0.97	0.71	0.82	0.23	0.06	0.43	0	0.41	0	0	0.65	0.57	0.96	0.79	0.01	0	0	0	0.01	0	0	0	-	-	0.07	0	0
Cks1b	-	0.1	0.93	0.04	0	0	0	0	0	0	0	0	0	0	0	0.83	0.91	0.84	0.81	0.87	0.97	0.95	0.86	0	0	0	0	0
Cks2	-	0.63	0.59	0	0	0	0	0	0	0	0	0	0	0	0	0.77	0.91	0.88	0.8	0.97	0.86	0.94	0.99	0	0	0.01	0	0
Clca2	-	0.85	0.54	0.83	0.31	0.44	0.73	0.12	0.01	0.02	0.72	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Clcf1	-	0.84	0.23	0.79	0	0	0.05	0.08	0.8	0.73	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
Cldn10	-	0	0.06	0.31	0.01	0.04	0.19	0.77	0	0	0	0.26	0.42	0.31	0.22	0.44	0.75	0.83	0.59	0	0.79	0.05	0	-	-	0.02	0.06	0
Cldn5	-	0.01	0	0	0.06	0.02	0.24	0.01	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0.08	0.99
Clec11a	-	0.42	0.77	0.65	0.02	0.7	0.1	0.44	0.06	0	0	0.38	1	0.37	0.94	0.27	0.13	0.17	0	0.09	0.01	0	0	-	-	0	0.29	0
Clec4a2	-	0.15	0.4	0.17	0.27	0.02	0.1	0.01	0.03	0.01	0.04	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.86	0.49	0.97
Clec4d	-	0.36	0.76	1	0.44	0.34	0.15	0.11	0.86	0.08	0.55	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Clec4e	-	0.59	0.44	0.87	0.03	0.45	0.34	0.52	0.88	0.32	0.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Clec4n	-	0.94	0.65	0.28	0.05	0.6	0.65	0.41	0.66	0.18	0.78	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.07	0.67	0.47
Clec7a	-	0	0.03	0	0.67	0.6	0.15	0.02	0.03	0.39	0.02	0.69	0.95	0	0.13	0.9	0.45	0.71	0.9	0.65	0.8	0.83	0.57	0	0.05	0.01	0.13	0.08
Clhc1	-	0.14	0.78	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Clic1	-	0	0.31	0.89	0.1	0.02	0	0	0.85	0	0.47	0.34	0.19	0.03	0.45	0.55	0.82	0.7	0.47	0.97	0.8	0.5	0.58	-	-	0.73	0.05	0.03
Clic4	-	0.01	0	0	0	0	0	0	0	0	0	0	0	0.24	0.03	0	0	0	0	0	0	0	0	0	0.11	0.02	0	0
Clspn	-	0.43	0.01	0	0	0	0	0	0	0	0	0.81	0.32	0.02	0.01	0	0	0	0	0	0	0	0	0.2	0.81	-	-	-
Clstn2	-	0	0.88	0.03	0	0	0	0	0	0.06	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0.68	0.66
Clstn3	-	0.22	0.23	0.08	0.01	0	0	0.04	0.33	0.02	0.81	0.52	0.02	0.29	0.01	0.56	0.73	0.77	0.71	0.94	0.86	0.84	0.62	0.82	0.17	0	0	0
Cmklr1	-	0.12	0.32	0.3	0	0.49	0.54	0.95	0.11	0.42	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cmpk2	-	0	0.02	0	0.02	0	0.02	0	0	0.04	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	0.01	0
Cmtm3	-	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
Cnksr1	-	0	0.16	0.63	0.33	0.47	0.53	0.61	0	0	0	0.86	0.17	0.49	0.23	0.92	0.68	0.23	0	0	0	0	0	0.28	0.49	-	-	-
Cnn2	-	0.04	0.01	0	0	0	0	0	0	0	0	0	0	0.01	0.07	0	0	0	0	0	0	0	0	0.37	0.24	0.08	0	0
Cnnm1	-	0.29	0.47	0.87	0.05	0.03	0.72	0.02	0.28	0.04	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cnr1	-	0.28	0.3	0.01	0.01	0	0	0	0.01	0.49	0.06	0.01	0.02	0.07	0.11	0.61	0.49	0.5	0.34	0.72	0.77	0.73	0	0.12	0.62	0	0	0
Cntfr	-	0.02	0.2	0.21	0.08	0.99	0.45	0.67	0.03	0.95	0	0.81	0.16	0.06	0.15	0.3	0.71	0.59	0.86	0.56	0.94	0.69	0.27	0.05	0.23	0.28	0	0
Cntn4	-	0.85	0.62	0.13	0.68	0.4	0.21	0.65	0.2	0.55	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
Cntn6	-	0	0	0	0	0	0	0	0	0	0	0.88	0.58	0.04	0.6	0	0	0	0	0	0	0	0	0.42	0.81	0	0	0
Col12a1	-	0	0	0	0	0	0	0	0	0	0	0.19	0	0.77	0.02	0.37	0	0.01	0.04	0.12	0.11	0.01	0.4	-	-	-	-	-
Col16a1	-	0	0	0.01	0.02	0	0.01	0	0	0.02	0.52	0	0	0	0	0.01	0.07	0.03	0.03	0.53	0.1	0.12	0.05	-	-	0	0	0
Col1a1	-	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0.44	0.64	0.79
