Symbol	Rank	DevE10.5(PVal)affy430	DevE11.5(PVal)affy430	DevE12.5(PVal)affy430	DevE16.5(PVal)affy430	DevE17.5(PVal)affy430	DevE19.5(PVal)affy430	DevP0(PVal)affy430	DevP2(PVal)affy430	DevP56(PVal)affy430	DevP28Epi(PVal)affy430	DevE9.5a(PVal)lumi2	DevE9.5b(PVal)lumi2	DevE10.5a(PVal)lumi2	DevE10.5b(PVal)lumi2	DevP4(PVal)lumi2	DevP8(PVal)lumi2	DevP12(PVal)lumi2	DevP20(PVal)lumi2	DevP30(PVal)lumi2	DevP42(PVal)lumi2	DevP52(PVal)lumi2	DevP60(PVal)lumi2	DevE9.5(PVal)lumi1	DevE10.25(PVal)lumi1	DevE15.5(PVal)affy430a	DevP0a(PVal)affy430a	DevP0b(PVal)affy430a

2010015L04Rik	-	-	-	-	-	-	-	-	-	-	-	0.16	0	0	0.01	0.15	0.59	0.9	0.72	0.68	0.55	0.82	0.28	0.04	0	-	-	-
2610005L07Rik	-	0.13	0.18	0.27	0.01	0.24	0.07	0.52	0.09	0	0.98	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.36	0.84	0.12
4930481A15Rik	-	0.45	0.58	0.38	0.49	0.27	0.77	0.51	0.76	0.03	0.48	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5430440P10Rik	-	0.07	0.43	0.88	0.97	0.01	0.6	0.2	0.01	0.94	0.33	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
9130008F23Rik	-	0.17	0.5	0.99	0	0	0.01	0	0.36	0	0	0.95	0.56	0.6	0.76	0.11	0.29	0.05	0.52	0.7	0	0	0.77	-	-	-	-	-
A930017M01Rik	-	0.54	0.87	0.71	0.22	0.72	0.42	0.91	0.58	0	0.71	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Abcg4	-	0.06	0.36	0.31	0.25	0.73	0.15	0.59	0.04	0.93	0.15	0.01	0.01	0.04	0.08	0.1	0.29	0.12	0.57	0.78	0.2	0.05	0.56	-	-	0.64	0.02	0.05
Acaa1b	-	0.29	0.16	0.05	0.12	0	0.01	0.55	0.66	0.66	0.2	0.46	0.94	0.48	0.15	0.32	0.48	0.48	0.6	0.63	0.49	0.41	0.16	0.04	0.12	0.01	0.25	0.35
Ache	-	0.02	0.25	0.12	0.04	0.01	0.06	0.02	0.39	0.02	0.14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	0	0
Adcy2	-	0	0	0	0	0	0.08	0	0.39	0.72	0.01	0	0	0	0	0.01	0.03	0.01	0.09	0.28	0.87	0.71	0	-	-	0	0	0
Akr1c14	-	0.19	0.17	0.47	0	0.21	0.29	0.67	0.96	0	0.76	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.32	0	0
Aldh3a1	-	0.41	0.12	0.11	0.31	0.67	0.47	0.82	0.28	0	0	0.79	0.81	0.53	0.25	0.77	0.39	0.17	0	0	0	0	0	0.03	0.48	-	-	-
Aldh9a1	-	0.02	0.03	0.02	0	0	0	0	0.9	0.53	0.11	0.04	0.11	0.06	0.2	0.92	0.44	0.68	0.99	0.03	0.95	0.14	0.67	-	-	0	0.59	0.65
Astn2	-	-	-	-	-	-	-	-	-	-	-	0	0.2	0.25	0	0.98	0.89	0.97	0.45	0.57	0.61	0.36	0.12	-	-	-	-	-
Bbs7	-	0	0	0	0	0	0	0.01	0.01	0.02	0	0.03	0.01	0.05	0	0.93	0.66	0.58	0.46	0.55	0.7	0.17	0.64	0	0	-	-	-
Bst1	-	0.1	0.12	0.07	0.01	0.16	0	0.02	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
Sbno2	-	0	0.01	0	0.01	0	0.01	0	0	0.06	0	0.23	0.39	0.37	0.8	0.69	0.9	0.08	0.16	0.16	0.33	0.61	0	-	-	-	-	-
Sbspon	-	0.22	0.02	0.17	0.33	0.22	0	0	0.01	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Scara3	-	0.29	0.92	0.01	0.8	0	0.02	0.01	0	0.02	0.12	0	0	0	0	0.02	0.03	0.01	0	0	0	0	0	0	0	0	0.01	0
Scara5	-	0	0	0	0	0	0	0	0	0.01	0.51	0	0.02	0.06	0	0.06	0	0.04	0.14	0.07	0.12	0.01	0.01	-	-	0	0	0
Scd2	-	0.01	0.01	0	0.13	0.12	0.14	0.67	0.36	0	0	0.46	0.01	0.43	0.36	0	0	0	0	0	0	0	0	-	-	0	0	0
Scel	-	0.73	0.85	0.61	0	0	0	0	0	0	0	0.85	0.79	0.51	0.67	0	0.22	0	0	0	0	0	0	-	-	0	0	0
Scg2	-	0	0	0	0	0	0	0	0.46	0	0	0.03	0	0.03	0.03	0.01	0.26	0.01	0.06	0.58	0.1	0.64	0.07	-	-	-	-	-
Scn1b	-	0.17	0.03	0.18	0	0	0	0	0	0	0.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
Scp2	-	0.61	0.65	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scube2	-	0	0.22	0.09	0.66	0.01	0.11	0.01	0.01	0.01	0.02	0.35	0.11	0.24	0.05	0.32	0.08	0.2	0.18	0.36	0.09	0.01	0.15	-	-	0	0	0
Scube3	-	0	0	0	0.01	0.21	0.53	0.7	0.11	0	0	0.1	0	0	0.02	0.44	0.27	0.17	0.05	0.01	0.2	0.07	0.03	0.3	0.01	-	-	-
Scx	-	0	0	0	0	0	0	0	0.07	0.1	0.87	0	0.01	0.01	0.37	0	0	0	0.19	0.11	0	0	0	-	-	0	0	0
Sdc4	-	0	0.01	0.03	0	0	0	0	0.59	0	0	0.99	0.29	0.04	0.05	0	0	0	0	0	0	0	0	0.5	0.12	0	0	0
Sdf2l1	-	0	0.31	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0	0	0
Sdpr	-	0	0	0	0.17	0.14	0.02	0.1	0.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0.04	0	0
Sec14l1	-	0.03	0	0	0	0	0	0	0	0	0	0.74	0.15	0.21	0.26	0	0	0	0	0	0	0	0	-	-	0	0	0
Sec14l2	-	0.41	0.13	0.86	0.65	0.1	0.45	0.77	0.83	0.13	0.02	0.34	0.2	0.37	0.01	0.31	0.54	0.42	0.53	0.48	0.64	0.56	0.48	0.01	0.16	0.01	0	0
Sec22c	-	0.32	0.35	0.7	0.78	0.2	0.62	0.15	0.53	0.05	0	0	0	0.08	0.35	0.93	0.75	0.69	0.85	0.54	0.46	0.83	0.03	0.47	0.14	-	-	-
Selenbp1	-	0	0	0.06	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
Selenbp2	-	-	-	-	-	-	-	-	-	-	-	0.03	0	0.01	0.17	0.13	0.23	0.29	0.46	0.79	0.98	0.88	0.76	-	-	-	-	-
Selp	-	-	-	-	-	-	-	-	-	-	-	0.57	0.45	0.03	0.47	0.29	0.19	0.62	0.29	0.69	0.84	0.62	0	-	-	-	-	-
Selplg	-	-	-	-	-	-	-	-	-	-	-	0.1	0.83	0	0.46	0.69	0.51	0.48	0.68	0.66	0.34	0.57	0.55	-	-	0	0	0
Sema3a	-	0	0	0	0	0	0	0	0	0.66	0	0.03	0	0	0	0	0.02	0.05	0.29	0.04	0.19	0.12	0.24	0	0	0	0	0
Sema3d	-	0.02	0.01	0	0	0	0	0	0	0.39	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Sema4a	-	0	0	0	0.09	0	0.01	0	0.41	0.16	0.05	0	0	0	0.39	0.02	0.28	0.04	0.36	0.17	0.04	0.07	0.01	-	-	0.67	0.31	0.84
Sema5a	-	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sema5b	-	0	0	0.26	0	0	0	0	0.18	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0.01	0.01
Sepp1	-	0	0	0.03	0.17	0	0.01	0	0	0.07	0.63	0.06	0.02	0.31	0.02	0	0.01	0.03	0.05	0.04	0.93	0.5	0.01	0	0	0.01	0	0
Serpina3h	-	-	-	-	-	-	-	-	-	-	-	0.11	0.08	0.41	0.1	0.05	0	0	0	0.12	0	0	0	-	-	-	-	-
Serpina3n	-	1	0.88	0.21	0.99	0.44	0.09	0.46	0.36	0	0.17	0.77	0.92	0.98	0.63	0.14	0.35	0.01	0	0	0	0	0	-	-	0.04	0.75	0.5
Serpinb2	-	0.16	0.49	0.12	0.64	0.07	0.78	0.13	0.4	0.6	0.66	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Serpinb8	-	0.57	0.43	0.7	0.74	0.6	0.47	0.78	0.68	0.81	0.92	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Serpine1	-	0.71	0.73	0.36	0.26	0.72	0.01	0.44	0	0.01	0.11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Serpinf1	-	0	0	0	0	0	0	0	0	0	0.1	0	0.93	0	0.72	0	0.14	0.18	0.01	0	0	0	0	0.2	0	0	0.02	0.01
Sesn1	-	0.02	0.29	0.54	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sesn2	-	0.34	0.79	0.46	0.36	0.01	0.01	0	0.67	0.1	0	0.94	0.9	0.66	0.72	1	0.9	0.85	0.99	0.13	0.35	0.74	0.21	0.05	0.43	0.5	0.09	0.02
Sestd1	-	0.01	0	0	0	0	0	0	0	0	0.03	0.75	0	0	0	0	0	0	0	0	0	0	0	0.04	0.02	-	-	-
Setd7	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.05	0	0.01	0	0.07	0	0	-	-	-
Sez6l	-	0.07	0.04	0.1	0.89	0.15	0.87	0.82	0.58	0.14	0	0.01	0.01	0	0.01	0.06	0.05	0.02	0.07	0.92	0	0.05	0	-	-	0	0.17	0.06
Sfrp1	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0
Sfxn3	-	0	0	0	0	0	0	0	0.01	0.18	0.57	0.14	0	0	0	0.93	0.96	0.99	0.96	0.86	0.99	0.93	0.97	-	-	0	0	0
Sfxn5	-	0.17	0.34	0.25	0.13	0.33	0.29	0.3	0.01	0.01	0	0.11	0.13	0.29	0.88	0.02	0.55	0.66	0.55	0.87	0.15	0.96	0.57	-	-	-	-	-
Sgms2	-	0.25	0.2	0.12	0.89	0.28	0.82	0.51	0.15	0.95	0.54	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Sgol1	-	0.52	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.65	0	0
Sgol2	-	0.47	0.01	0	0	0	0	0	0	0	0	0	0.01	0.31	0.1	0	0	0	0	0	0	0	0	0.15	0	-	-	-
Sgsm1	-	0.98	0.01	0.59	0.11	0.07	0.37	0.01	0.89	0.01	0.02	0.52	0.17	0.75	0.03	0.27	0.83	0.94	0.89	0.24	0.66	0.52	0.31	0.59	0.64	-	-	-
Sh2b2	-	0	0	0	0	0	0	0	0	0	0	0.36	0.85	0.08	0.34	0.06	0.86	0.39	0.63	0.8	0.22	0.5	0.63	-	-	0.82	0	0
Sh3bgr	-	0	0	0	0.02	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	0	0.02
Sh3bp2	-	0.32	0.18	0.23	0	0.34	0.18	0.23	0.66	0.15	0	0.16	0	0.22	0	0.35	0.82	0.69	0.76	0.54	0.41	0.69	0.39	0	0.07	0	0	0.97
Sh3kbp1	-	0	0	0	0.05	0	0.43	0	0.01	0	0	0	0	0	0	0	0.01	0.05	0.74	0.29	0.02	0	0.02	-	-	0	0	0
Sh3pxd2a	-	0	0	0	0	0	0.02	0	0.01	0	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Sh3pxd2b	-	0.05	0.28	0.01	0	0	0	0	0	0	0	0.01	0	0.88	0.02	0.06	0.02	0.02	0.02	0.14	0.03	0.02	0.01	0.25	0.99	-	-	-
Shcbp1	-	0.83	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.94	0.87	0.9	0.83	0.88	0.83	0.96	0.87	0.38	0.94	0.01	0	0
Shisa5	-	0	0	0	0.04	0.01	0.51	0	0.07	0.81	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.03	0	0
Shisa6	-	0.35	0.43	0.26	0.28	0.3	0.51	0.89	0.35	0.05	0.13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Shisa9	-	0.43	0.18	0.38	0.14	0.17	0.38	0.52	0.55	0	0.86	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Shmt1	-	0.06	0.85	0	0	0	0	0	0	0	0	0.07	0.05	0.36	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0
Shroom4	-	0	0	0	0	0	0	0	0	0	0	0.21	0.2	0.74	0.92	0.8	0.88	0.59	0.45	0.43	0.73	0.73	0	-	-	-	-	-
Siae	-	0.03	0.17	0.01	0	0	0	0	0	0.9	0.51	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
Siglec5	-	0.58	0.89	0.17	0.08	0	0.56	0.01	0.1	0.01	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.9	0.84	0.11
Siglece	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0.98	0.95	0.98	0.95	0.87	0.97	0.99	0.85	-	-	-	-	-
Sipa1l3	-	0	0	0	0	0	0	0	0	0	0	0.65	0.81	0.3	0.78	0	0	0	0	0	0	0	0	0.26	0.51	-	-	-
Six3os1	-	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Six5	-	0	0	0	0.04	0.32	0	0.34	0	0.2	0.96	0.61	0.02	0.07	0.01	0.23	0.62	0.26	0.28	0.59	0.73	0.64	0.11	-	-	0	0.55	0.36
Ska1	-	0.83	0.01	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
Ska3	-	0.14	0.95	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Sla	-	0.87	0.16	0.08	0.03	0	0	0	0	0	0	0	0	0.03	0.03	0	0.04	0	0.05	0.03	0.02	0.01	0	-	-	0.65	0.03	0.82
Slc11a1	-	0	0	0.01	0	0	0.02	0	0	0.03	0	0.79	0.47	0.01	0	0	0.14	0.79	0.08	0.54	0.12	0.31	0.11	0	0	0.16	0.87	0.36
Slc12a3	-	-	-	-	-	-	-	-	-	-	-	0.7	0.96	0	0	0.81	0.55	0.3	0.4	0.59	0.14	0.03	0.83	-	-	-	-	-
Slc14a1	-	0	0	0	0	0	0	0	0	0	0	0.01	0.02	0.06	0	0.07	0.22	0.01	0.05	0.07	0.04	0.03	0.01	-	-	0	0	0
Slc15a2	-	0.07	0.27	0.04	0	0	0	0	0	0	0	0.03	0	0	0.01	0.03	0.02	0.01	0.01	0	0	0	0.01	0.24	0.53	0	0	0
Slc15a3	-	0	0	0	0.07	0.41	0.58	0.39	0.77	0.07	0.15	0	0.35	0	0	0.38	0.71	0.45	0.67	0.38	0.35	0.31	0.33	-	-	0.03	0.38	0.72
Slc16a2	-	0	0	0	0	0	0.95	0.01	0.02	0.17	0.05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
Slc19a3	-	0.69	0.27	0	0	0	0	0	0	0	0	0.14	0.1	0.26	0.14	0.58	0.01	0.05	0.04	0.19	0.06	0.01	0.91	-	-	0	0.95	0.01
Slc1a4	-	0	0.01	0.21	0	0	0.01	0	0	0.09	0	0.74	0.89	0.2	0.29	0.11	0.01	0	0	0.06	0	0	0.01	-	-	0	0	0
Slc22a17	-	0.05	0	0	0	0	0	0	0	0.54	0	0.18	0.02	0.01	0.06	0.31	0.1	0.06	0.04	0.3	0.57	0.58	0	0.77	0.07	0.62	0.54	0.22
