Symbol	Rank	DevE10.5(PVal)affy430	DevE11.5(PVal)affy430	DevE12.5(PVal)affy430	DevE16.5(PVal)affy430	DevE17.5(PVal)affy430	DevE19.5(PVal)affy430	DevP0(PVal)affy430	DevP2(PVal)affy430	DevP56(PVal)affy430	DevP28Epi(PVal)affy430	DevE9.5a(PVal)lumi2	DevE9.5b(PVal)lumi2	DevE10.5a(PVal)lumi2	DevE10.5b(PVal)lumi2	DevP4(PVal)lumi2	DevP8(PVal)lumi2	DevP12(PVal)lumi2	DevP20(PVal)lumi2	DevP30(PVal)lumi2	DevP42(PVal)lumi2	DevP52(PVal)lumi2	DevP60(PVal)lumi2	DevE9.5(PVal)lumi1	DevE10.25(PVal)lumi1	DevE15.5(PVal)affy430a	DevP0a(PVal)affy430a	DevP0b(PVal)affy430a

Orc6	-	0.6	0.01	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0.05	0
Orm2	-	0.62	0.78	0.85	0.01	0.24	0.73	0.06	0.01	0.05	0.66	0.76	0.35	0.58	0.63	0.52	0.06	0.06	0.12	0.7	0.16	0.17	0.26	-	-	-	-	-
Ostf1	-	0	0	0	0	0	0.01	0	0.56	0.35	0	0.01	0	0.08	0	0.52	0.25	0.22	0.07	0.1	0.16	0.21	0.18	0	0.01	0.02	0	0
P2rx4	-	0.01	0.53	0.01	0.31	0	0.51	0.01	0.29	0.08	0	0.93	0.92	0.32	0.49	0.41	0.25	0.44	0.28	0.55	0.17	0.42	0.01	-	-	0	0	0
P2ry1	-	-	-	-	-	-	-	-	-	-	-	0.15	0.37	0.27	0.03	0.32	0.28	0.14	0.23	0.21	0.19	0.14	0.08	0.52	0.32	-	-	-
P2ry14	-	0.41	0.4	0.9	0.01	0.19	0.49	0.12	0.72	0.38	0.01	0.71	0	0.02	0.14	0.48	0.91	0.97	0.86	0.98	0.92	0.29	0.66	0.03	0.63	0.1	0.51	0.48
P4hb	-	0.19	0.77	0.14	0	0	0	0	0	0	0.4	0.01	0.05	0.19	0	0	0	0	0	0	0	0	0	0.09	0.34	0.14	0.84	0.18
Pa2g4	-	0.19	0.16	0.36	0.06	0.23	0.68	0.03	0.97	0.93	0	0.14	0.8	0	0.01	0.05	0.31	0.15	0	0.01	0.01	0.01	0	0.09	0.01	0	0	0
Pabpc4	-	0.03	0.61	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pabpc4l	-	0.01	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Pabpc5	-	0.9	0.35	0.64	0.34	0.49	0.04	0.91	0.85	0.47	0.81	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Pak1ip1	-	0	0	0	0	0.01	0	0.09	0.01	0.15	0.11	0	0	0	0	0.37	0.86	0.43	0.15	0.39	0.4	0.29	0	0.39	0.11	0.01	0	0
Pak6	-	0.22	0.41	0.21	0.99	0.49	0.12	0.24	0.39	0.02	0.74	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Palm2	-	0.55	0.04	0.04	0	0	0	0	0	0	0	0.54	0.96	0.71	0.7	0	0	0	0	0	0	0	0	-	-	-	-	-
Panx2	-	0.35	0.2	0.11	0.01	0.32	0.04	0.9	0	0.13	0.5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Paox	-	0.33	0.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-
Papss2	-	0	0	0	0	0	0	0	0	0	0	0.56	0.11	0	0.27	0	0.88	0.31	0.03	0	0.01	0.02	0.01	-	-	0.03	0.14	0.12
Paqr3	-	0.89	0.92	0	0	0	0	0	0	0	0	0.06	0.2	0.56	0.28	0.7	0.88	0.76	0.95	0.59	0.95	0.65	0.36	-	-	-	-	-
Paqr9	-	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0.01	0	0	0.01	0.01	0.11	0.01	0.08	0	-	-	-	-	-
Park2	-	0.13	0.2	0.43	0	0	0	0	0.01	0	0.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
Parp16	-	0.34	0.57	0.03	0	0.03	0.03	0.02	0.65	0	0.18	0.53	0.7	0.53	0.57	0	0.1	0.03	0	0	0	0	0	0.4	0.65	0	0.61	0.24
Parp3	-	0.82	0.33	0.71	0.45	0.62	0.64	0.79	0.98	0	0.12	0.05	0.05	0.2	0	0.75	0.2	0.13	0	0.08	0	0.01	0.72	-	-	0	0	0
Pbdc1	-	0.19	0.46	0.79	0.13	0	0.13	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.09	0.85	0.75
Pbld1	-	0.02	0.46	0.47	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0.03
Pcbd1	-	0.01	0	0	0	0	0	0	0	0	0	0.74	0.4	0.5	0.68	0	0	0	0	0	0	0	0	0.14	0.01	0	0	0
Pcdh10	-	0	0	0	0	0	0	0	0	0	0	0.5	0.36	0.5	0.12	0.5	0.15	0.9	0.51	0.1	0.45	0.43	0.68	0.27	0.02	0	0	0
Pcdh17	-	0	0	0	0.95	0.77	0	0	0	0	0.03	0	0.66	0	0.02	0	0.65	0.52	0.02	0	0	0.01	0	-	-	-	-	-
Pcdhb11	-	0.3	0.8	0.48	0.61	0.01	0.22	0.17	0.09	0.15	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	0.15	0.27
Pcdhb12	-	0.82	0.42	0.33	0.66	0.93	0.69	0.94	0.44	0	0	0.01	0.1	0.01	0	0.69	0.67	0.87	0.55	0.16	0.54	0.41	0.75	-	-	0.62	0.01	0.34
Pcdhb15	-	0.07	0.26	0.78	0.54	0.53	0.17	0.6	0	0.33	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.78	0.64	0.83
Pcdhb19	-	0	0.01	0	0	0	0.53	0.02	0.53	0.33	0.84	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.79	0.75	0.96
Pcdhb22	-	0	0	0	0.92	0.08	0.09	0.37	0.72	0.01	0	0.38	0.98	0.91	0.83	0.92	0.93	1	0.54	0.06	0.77	0.67	0.07	-	-	0.06	0.39	0.17
Pcdhb8	-	0.15	0.46	0.43	0.08	0.32	0.07	0.56	0.7	0.64	0.08	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Pcdhga8	-	-	-	-	-	-	-	-	-	-	-	0.01	0.03	0	0.26	0.1	0.58	0.65	0.57	0.75	0.75	0.36	0.52	-	-	-	-	-
