Symbol	Rank	DevE10.5(PVal)affy430	DevE11.5(PVal)affy430	DevE12.5(PVal)affy430	DevE16.5(PVal)affy430	DevE17.5(PVal)affy430	DevE19.5(PVal)affy430	DevP0(PVal)affy430	DevP2(PVal)affy430	DevP56(PVal)affy430	DevP28Epi(PVal)affy430	DevE9.5a(PVal)lumi2	DevE9.5b(PVal)lumi2	DevE10.5a(PVal)lumi2	DevE10.5b(PVal)lumi2	DevP4(PVal)lumi2	DevP8(PVal)lumi2	DevP12(PVal)lumi2	DevP20(PVal)lumi2	DevP30(PVal)lumi2	DevP42(PVal)lumi2	DevP52(PVal)lumi2	DevP60(PVal)lumi2	DevE9.5(PVal)lumi1	DevE10.25(PVal)lumi1	DevE15.5(PVal)affy430a	DevP0a(PVal)affy430a	DevP0b(PVal)affy430a

Adh1	-	0	0	0	0	0	0.01	0.03	0	0.03	0	0.01	0	0.01	0	0	0.04	0.01	0.01	0.02	0.04	0.18	0	-	-	0	0	0
C1qb	-	0.01	0.04	0.24	0.15	0.27	0.02	0.27	0.02	0.19	0	0.02	0.1	0.33	0.25	0.18	0.1	0.11	0.08	0.12	0.18	0.25	0.09	0.03	0.27	0	0.02	0
C1qc	-	0.01	0	0.01	0	0.1	0.27	0.89	0.07	0.09	0.22	0.02	0.17	0.38	0.38	0.15	0.28	0.24	0.28	0.39	0.14	0.31	0.08	-	-	0.75	0.31	0.43
D730005E14Rik	-	0.39	0.91	0.58	0.89	0	0.49	0	0.89	0.02	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Gpr143	-	0.65	1	0.86	0.28	0.36	0.32	0.18	0.48	0.72	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.78	0.47	1
Kcnq4	-	0.09	0.67	0.04	0	0	0.01	0	0.02	0.22	0.79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Myh11	-	0.17	0.4	0.15	0.1	0.21	0.81	0.19	0	0.49	0.1	0.7	0.56	0.59	0.55	0.59	0.76	0.54	0.73	0.67	0.7	0.92	0.58	-	-	0.18	0.53	0.18
Pmel	-	0.12	0	0.02	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0.01	0
Prkcb	-	0	0.02	0.01	0.18	0.11	0	0.41	0	0	0	0.05	0.02	0.41	0.07	0.12	0.3	0.29	0.47	0.06	0.77	0.97	0	-	-	0	0	0
Slc45a2	-	0.16	0.81	0.62	0.09	0.11	0	0.33	0.32	0.18	0.43	0.54	0.93	0.42	0.3	0.36	0.91	0.9	0.73	0.07	0.33	0.77	0	0.19	0.38	0	0.01	0.02
Srpx	-	0	0	0	0	0	0	0	0	0	0	0.01	0.02	0.02	0.01	0.07	0.03	0.2	0.14	0.11	0.13	0.01	0.03	-	-	0	0	0
Syt17	-	0.35	0.67	0.69	0.87	0.67	0.13	0.44	0.48	0.44	0.82	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0.71	0.07
Trim12a	-	0.8	0.84	0.57	0.58	0.34	0.58	0.49	0.97	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trpc3	-	0.05	0	0.08	0.65	0.03	0.92	0.17	0.05	0	0.05	0	0.04	0.67	0.01	0.02	0.1	0.02	0.03	0.72	0.05	0	0.03	-	-	0.71	0.34	0.13
Xbp1	-	0.92	0	0.08	0	0.46	0	0	0	0.07	0	0	0	0	0	0.6	0.02	0.01	0.05	0.03	0.8	0.57	0.06	0.04	0	0	0	0
Xkr4	-	0.01	0.03	0.78	0.5	0.66	0.24	0.59	0.12	0.01	0.79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Xkr6	-	-	-	-	-	-	-	-	-	-	-	1	0.06	0.33	0.92	0.99	0.91	0.88	0.37	0.87	0.95	0.64	0.25	0.99	0.01	-	-	-
Yod1	-	0	0.01	0.12	0	0.73	0.21	0.8	0.67	0.97	0.01	0	0.01	0.56	0.25	0	0	0	0	0	0.31	0.07	0	0	0.01	-	-	-
Ypel1	-	0.04	0	0	0	0	0	0	0	0	0	0.01	0.15	0.01	0.24	0.03	0.05	0.24	0.77	0	0.51	0.43	0.18	0.27	0.19	0.65	0	0
Zbtb37	-	0.01	0.01	0.01	0.27	0.19	0.08	0.01	0.01	0.28	0.67	0	0	0	0	0.04	0.84	0.87	0.31	0.46	0.63	0.35	0.46	0	0	0.04	0.06	0.33
Zc4h2	-	0.03	0	0	0	0	0	0	0	0	0	0.11	0.6	0.99	0	0	0.01	0.01	0.01	0.03	0	0	0.16	0.61	0.4	-	-	-
Zdhhc2	-	0.9	0.29	0.29	0.3	0.91	0.76	0.7	0.02	0.78	0	0	0.15	0.08	0.22	0.01	0.81	0.3	0.75	0.25	0.35	0.59	0.22	-	-	0	0	0
Zdhhc23	-	-	-	-	-	-	-	-	-	-	-	0.53	0.56	0.87	0.55	0.71	0.79	0.97	0.98	0.38	0.88	0.6	0.71	0.1	0	-	-	-
Zfhx4	-	0.04	0	0	0	0	0	0	0	0	0.8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0.08	0.04
Zfp108	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.15	0.03	0
Zfp112	-	0.05	0.83	0.34	0.07	0.8	0.2	0.39	0.32	0.97	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.22	0	0
Zfp114	-	-	-	-	-	-	-	-	-	-	-	0.27	0.62	0.19	0.06	0.56	0.92	0.92	0.83	0.65	0.76	0.71	0.19	-	-	-	-	-
Zfp119b	-	0.28	0.15	0.53	0.02	0.87	0.93	0.54	0.03	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Zfp185	-	0	0	0	0	0	0	0	0	0	0	0.88	0.62	0.92	0.57	0	0	0	0	0	0	0	0	-	-	0	0	0
Zfp286	-	0.07	0	0	0	0	0	0	0	0	0	0.24	0.94	0.79	0.18	0.23	0.55	0.61	0.25	0.35	0.59	0.46	0.22	0.2	0.24	0.05	0	0
Zfp354b	-	0.12	0.82	0.48	0.15	0.81	0.26	0.62	0.98	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.36	0.02	0.02
Zfp369	-	0.67	0.55	0.87	0.03	0.9	0.01	0.48	0	0.03	0	0	0	0.01	0.02	0.86	0.83	0.8	0.88	0.89	0.8	0.86	0.96	-	-	-	-	-
