Symbol	Rank	DevE10.5(PVal)affy430	DevE11.5(PVal)affy430	DevE12.5(PVal)affy430	DevE16.5(PVal)affy430	DevE17.5(PVal)affy430	DevE19.5(PVal)affy430	DevP0(PVal)affy430	DevP2(PVal)affy430	DevP56(PVal)affy430	DevP28Epi(PVal)affy430	DevE9.5a(PVal)lumi2	DevE9.5b(PVal)lumi2	DevE10.5a(PVal)lumi2	DevE10.5b(PVal)lumi2	DevP4(PVal)lumi2	DevP8(PVal)lumi2	DevP12(PVal)lumi2	DevP20(PVal)lumi2	DevP30(PVal)lumi2	DevP42(PVal)lumi2	DevP52(PVal)lumi2	DevP60(PVal)lumi2	DevE9.5(PVal)lumi1	DevE10.25(PVal)lumi1	DevE15.5(PVal)affy430a	DevP0a(PVal)affy430a	DevP0b(PVal)affy430a

Mt2	-	0	0	0	0	0	0	0	0	0	0	0	0	0.67	0.02	0.49	0.87	0.48	0.69	0.66	0.54	0.91	0.81	0	0	0	0	0
Mt3	-	-	-	-	-	-	-	-	-	-	-	0	0.65	0.54	0.37	0.25	0.35	0.28	0.66	0.72	0.53	0.41	0.51	-	-	0.02	0.1	0
Mtfr2	-	0.07	0.41	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	0	0
Mthfd2	-	0.06	0	0	0.98	0.12	0	0	0	0.25	0	0	0	0.01	0	0.3	0.08	0.03	0	0.12	0.1	0.01	0.56	0	0.01	0	0	0
Mtor	-	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
Mtss1l	-	0.23	0.42	0.05	0	0	0.84	0.02	0.04	0.24	0.12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Mturn	-	0	0	0.14	0	0	0	0	0.03	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
Muc5ac	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0
Mum1l1	-	0.09	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	0.02	0	-	-	-
Mvp	-	0.29	0.41	0.17	0.77	0.14	0	0.52	0.92	0	0.02	0.08	0.38	0.43	0.35	0.01	0	0.02	0	0	0	0	0	-	-	0	0	0
Mx1	-	0.68	0.32	0.42	0	0	0	0	0.01	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Mxd3	-	0.11	0	0	0.7	0.95	0.1	0.62	0.01	0.08	0.35	0.01	0	0.01	0	0.01	0.05	0.12	0.01	0.1	0	0.1	0	-	-	0	0.04	0.12
Mxi1	-	0.91	0.9	0.31	0.46	0.47	0.56	0.46	0.3	0.09	0.39	0	0.01	0.03	0.07	0.77	0.86	0.87	0.78	0.38	0.92	0.91	0.8	0	0	0	0	0
Mxra8	-	0	0	0	0	0.98	0	0.46	0.07	0	0	0	0	0	0	0.02	0.01	0	0	0	0	0	0	-	-	0.01	0.98	0.01
Mybl1	-	0.53	0	0	0.01	0	0.04	0	0.31	0	0	0.04	0.68	0.66	0.9	0.73	0.89	0.8	0.67	0.35	0.47	0.81	0.16	-	-	0.65	0.24	0.32
Mybl2	-	0.12	0.4	0	0	0	0	0	0	0	0	0.25	0.12	0.06	0.31	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	-	-	0.17	0	0
Myc	-	0.12	0.3	0.01	0	0	0	0	0	0	0	0.73	0.47	0.25	0.13	0.29	0.38	0.2	0.19	0.21	0.11	0.3	0.64	-	-	0	0	0
Mycbp2	-	0.76	0.16	0	0	0	0	0	0.07	0	0	0	0	0.01	0	0.49	0.21	0.71	0.41	0.28	0	0	0	0	0	0.24	0.62	0.04
Mycn	-	0.06	0	0	0	0	0	0	0.13	0.51	0	0	0	0	0	0.86	0.84	0.95	0.62	0.9	0.95	0.78	0.95	0	0	0	0	0
Myd88	-	0.37	0.11	0.04	0.01	0.17	0.03	0.15	0	0.59	0.24	0.26	0.36	0.23	0.27	0.59	0.83	0.76	0.73	0.88	0.64	0.75	0.75	-	-	0.55	0.05	0.04
Myh9	-	0	0.01	0.03	0.01	0.02	0.93	0	0	0	0	0	0	0	0	0.2	0.17	0.17	0.14	0.34	0.43	0.31	0.14	-	-	0	0	0
Myl2	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0	0	0
Mylk3	-	0	0.01	0	0.01	0	0	0	0	0.59	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Mylk4	-	0	0	0.21	0.87	0.01	0	0.03	0	0.02	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Myo1e	-	0.12	0.22	0.43	0	0	0.92	0	0.19	0	0.02	0.12	0.08	0.84	0.41	0.51	0.88	0.7	0.59	0.29	0.27	0.18	0.14	-	-	0.14	0.28	0.08
Myo1f	-	0	0.01	0.02	0	0.09	0.01	0.06	0.27	0.04	0.74	0.06	0.04	0.17	0.59	0.06	0.31	0.75	0.09	0.58	0.15	0.54	0.17	-	-	-	-	-
Myo1g	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
Myo5a	-	0.6	0.5	0	0	0	0	0	0.8	0	0.31	0.01	0.01	0.1	0.45	0.01	0	0	0	0	0	0	0	0.08	0.03	0	0	0
Myo5b	-	0	0	0.03	0	0	0	0	0	0	0	0.35	0.25	0.3	0.42	0	0	0	0	0	0	0	0	0.01	0.12	0	0	0
Myo6	-	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myof	-	0.82	0.58	0.59	0.9	0.69	0.77	0.54	0.07	0.52	0.36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
N4bp3	-	0.46	0.73	0.34	0.14	0.01	0.2	0	0	0.02	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
Naa50	-	0.05	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Nab2	-	0.2	0.15	0.01	0	0	0	0	0	0	0	0.01	0	0	0.02	0	0.1	0.01	0.04	0.58	0.07	0.05	0	-	-	0	0	0
Naip2	-	0.5	0.4	0.49	0	0.52	0.25	0.15	0	0.41	0.42	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.93	0.66	0.32
Nap1l4	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0	0	0
Napepld	-	0.41	0.79	0.44	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Napsa	-	0.56	0.39	0.29	0	0.22	0.89	0.08	0.09	0	0.92	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Narf	-	0.07	0	0.2	0.01	0.33	0.05	0.43	0.01	0	0	0.08	0.79	0.38	0.19	0.69	0.29	0.96	0.94	0.75	0.14	0.42	0.77	0.01	0.19	0.01	0.21	0.2
