0H 6H 24H 48H 120H
ENSMUSG00000030587 1.38715765542359 7.82590085111296 25.0646234781194 5.86001235259728 12.5652685405367
ENSMUSG00000034457 0.216999651688243 0.126967614511945 12.843833758152 11.3027483164205 16.3736328417423
ENSMUSG00000074813 0.828831568509889 3.41514874017015 10.9194334484193 11.3938013656873 33.0151651480328
ENSMUSG00000030707 0.894450984385345 0.771544956649047 6.44880037769675 16.7432338517345 23.1418245884228
ENSMUSG00000020905 0.438403806642353 3.81487526190588 16.8106648155259 12.6469871119725 9.01189304399094
ENSMUSG00000020901 0.322859742693336 1.93730786474748 12.3397157766674 14.7998249700337 8.50282916893689
ENSMUSG00000056071 0.0235075068740059 0.083249464429613 15.3825819086948 26.5457506928798 2.06684030417321
ENSMUSG00000032643 0.954257798723409 5.77859489755263 13.4681131200875 12.0621999455207 27.2288210288954
ENSMUSG00000032776 1.12486792646343 12.595321645461 11.1670722504338 7.76679392017967 17.5250399474718
ENSMUSG00000044716 16.6008281580761 13.5829757336844 4.83842475321409 1.70377267583071 0.761193679932134
ENSMUSG00000054203 0.0464701230641416 1.89264436155991 18.1028861707211 8.2349556558305 7.87791364955994
ENSMUSG00000047798 0.127731658995867 0.868072718753679 19.4744722164363 23.0840749118612 13.583883244203
ENSMUSG00000027460 0.961058673010618 2.37819287599035 16.9249716400716 14.1346447615476 18.9883928978411
ENSMUSG00000078763 0.0969078457093275 0.0214807104268324 9.82872369924004 16.3973486951196 2.71653156698548
ENSMUSG00000030579 0.940641930776336 0.330903034970436 5.6040651723112 19.1437489268296 11.8483539196167
ENSMUSG00000043613 0.0316267760407836 0.135641602327239 21.4837574232587 12.429262514436 0.040079906301528
ENSMUSG00000028874 0.0979502919814455 0.267216899984532 5.35410674837871 16.3951276502678 10.8300338595285
ENSMUSG00000007888 0.272836701448945 2.39170466443547 15.9094760627961 29.9670462071733 14.3421126996012
ENSMUSG00000033107 0.194430175009955 9.01241335748746 22.3078470351186 12.4277470282964 3.22570902154139
ENSMUSG00000049723 0.157350370980187 0.570624352867567 4.53502246371002 8.67898197075884 10.8265494720575
ENSMUSG00000026288 2.06965075790291 5.29165311605475 7.40288224303238 17.7071342742675 22.4021445871791
ENSMUSG00000029334 0.158917751489459 0.451785607761261 8.0866663773233 13.9570059243066 10.6244701992477
ENSMUSG00000042734 2.19362123001642 4.08915380636502 7.71653197368755 11.821576610811 32.1200318683196
ENSMUSG00000109244 1.76215078514818 2.96774481253416 7.61642910100158 13.9715425944512 19.1964131663381
ENSMUSG00000026536 0.301009781088409 2.81849095064535 7.19136700247641 2.48083679867447 18.1275203306049
ENSMUSG00000039037 10.2067687602776 11.2415296642434 1.90706420989719 1.72716509470181 0.282747341255192
ENSMUSG00000059901 0.195148498853705 0.38961405106406 8.87791928205039 13.3031988375247 30.0984030816675
ENSMUSG00000026180 0.0158184485255429 0.133692529073216 12.6400695231067 28.4929472826896 1.75141009717103
ENSMUSG00000112023 0.101391319907827 1.12657583946896 15.7244457406819 26.9647006906143 8.30181479659741
ENSMUSG00000028965 0.172676001750662 0.605508852272589 5.76424274808565 4.66101875211953 19.1434556419884
ENSMUSG00000046245 0.0721137121097174 0 2.59454414595849 9.15214758597926 8.31563596531127
ENSMUSG00000030786 0.388610948438933 0.787637359754023 12.0322278719192 28.0120515707256 15.734368852282
ENSMUSG00000071714 0.167879924732858 0.436527669985585 6.35817338225645 16.2231382782094 21.2502263826594
ENSMUSG00000027947 1.38294943302312 13.9187489365761 12.78567294079 17.5257540996559 7.97153878156316
ENSMUSG00000024990 0.219685626453882 4.58033838313692 19.3861129582107 3.94873028841795 0.43455169562544
ENSMUSG00000032363 0.651900420189865 1.191797689497 8.61120506659511 12.7937968873475 16.6750427338939
ENSMUSG00000029771 1.10361594861627 2.20401851836097 6.51457145137084 11.9861262748653 14.88545769688
ENSMUSG00000054871 1.07199916119573 2.85767231042576 10.3058242275663 9.80286666984908 9.71700137256819
ENSMUSG00000031444 0.0406298746690043 0.48188654781512 6.14344313396546 8.38514598180327 9.59398373564753
ENSMUSG00000030144 0.0708472719406788 0.297314832424518 5.34053636431462 11.2041630911468 2.73843558141296
ENSMUSG00000019194 2.23499635450228 3.77802145530735 6.93812291030357 10.3587153934791 10.0114074828017
ENSMUSG00000078532 0.868551110980615 3.27190533052367 13.610596591016 14.5616833147198 8.91966493919138
ENSMUSG00000064147 0.1474618557124 0.299570515501423 8.17239932660623 7.83548815033705 8.02606819961565
ENSMUSG00000067212 1.51994826299724 3.5640568388031 10.7764151604375 7.36062131805103 21.4905434990544
ENSMUSG00000020641 0.665526991647117 8.34426092323561 26.281189768803 6.91575689120655 1.3537660224595
ENSMUSG00000056529 0.209108168954407 0.722411918976832 9.60245833821327 10.850287777887 6.66374848579543
ENSMUSG00000031343 16.1226639377836 11.1315808429881 4.63511973103087 4.52865620056354 0.666292893160611
ENSMUSG00000068246 0.416698334932813 1.7299913438017 7.22981162734715 3.90764801201688 18.3770859405534
ENSMUSG00000056054 0.0548299556786067 0 6.04694999446161 13.7816725304651 1.09070773036585
ENSMUSG00000049103 0.0804114087245098 0 5.29309966658224 26.5967269369808 13.7177623372066
ENSMUSG00000026073 0.132968877399499 0.271830342671601 9.02353082046979 21.400209078171 5.3087998892976
ENSMUSG00000053158 1.81363018023427 5.69758739015394 7.71246741377239 14.0181441357564 18.6807570706571
ENSMUSG00000043099 0.343539441996273 1.04678903966109 4.94606729715832 10.925838128037 23.7750194729459
ENSMUSG00000024737 0.707248712762128 1.88591371084836 6.81496112079222 14.7393693659177 9.82373862748248
ENSMUSG00000109917 0.551945062775184 1.24609302751087 6.60950920133505 8.03532524126441 7.99299653695119
ENSMUSG00000023349 0.23295814490339 0.113759917183881 4.75240180821794 17.4031501099144 16.320682962098
ENSMUSG00000047810 1.69205152250378 4.10393760388438 11.9506129187534 8.4432279536446 22.3055392908849
ENSMUSG00000022144 0.261636609509281 6.39897905561902 14.0228982152292 4.54723258716086 4.89309182759608
ENSMUSG00000105504 0.469997902311071 8.54594258465008 8.67212727747468 4.36963479923403 2.71233209483482
ENSMUSG00000001622 0.0761719228747082 0.195693998805295 1.48071469115858 11.791555244875 5.0712403651274
ENSMUSG00000072720 7.3493672250558 16.947025980251 5.32542509106157 0.765794749383094 0.5273744814337
